Date,Actual_price,Forecasted_Price
2001-04-20 00:00:00,1.97,2.26
2001-04-23 00:00:00,1.92,2.24
2001-04-24 00:00:00,2.06,2.23
2001-04-25 00:00:00,2.19,2.22
2001-04-26 00:00:00,2.1,2.22
2001-04-27 00:00:00,2.07,2.22
2001-04-30 00:00:00,2.3,2.2
2001-05-01 00:00:00,2.41,2.2
2001-05-02 00:00:00,2.31,2.19
2001-05-03 00:00:00,2.2,2.19
2001-05-04 00:00:00,2.27,2.19
2001-05-07 00:00:00,2.34,2.17
2001-05-08 00:00:00,2.49,2.17
2001-05-09 00:00:00,2.25,2.16
2001-05-10 00:00:00,2.22,2.16
2001-05-11 00:00:00,2.2,2.16
2001-05-14 00:00:00,2.21,2.14
2001-05-15 00:00:00,2.3,2.13
2001-05-16 00:00:00,2.38,2.13
2001-05-17 00:00:00,2.41,2.13
2001-05-18 00:00:00,2.33,2.12
2001-05-21 00:00:00,2.31,2.11
2001-05-22 00:00:00,2.24,2.11
2001-05-23 00:00:00,2.26,2.1
2001-05-24 00:00:00,2.25,2.1
2001-05-25 00:00:00,2.26,2.1
2001-05-29 00:00:00,2.17,2.09
2001-05-30 00:00:00,2.06,2.09
2001-05-31 00:00:00,2.12,2.09
2001-06-01 00:00:00,2.1,2.09
2001-06-04 00:00:00,2.03,2.09
2001-06-05 00:00:00,2.25,2.09
2001-06-06 00:00:00,2.19,2.09
2001-06-07 00:00:00,2.31,2.1
2001-06-08 00:00:00,2.3,2.09
2001-06-11 00:00:00,2.21,2.09
2001-06-12 00:00:00,2.2,2.09
2001-06-13 00:00:00,2.21,2.09
2001-06-14 00:00:00,2.19,2.09
2001-06-15 00:00:00,2.05,2.09
2001-06-18 00:00:00,1.88,2.08
2001-06-19 00:00:00,1.9,2.07
2001-06-20 00:00:00,1.98,2.07
2001-06-21 00:00:00,1.97,2.07
2001-06-22 00:00:00,1.97,2.06
2001-06-25 00:00:00,1.87,2.05
2001-06-26 00:00:00,1.98,2.05
2001-06-27 00:00:00,1.94,2.04
2001-06-28 00:00:00,1.93,2.04
2001-06-29 00:00:00,2.03,2.04
2001-07-02 00:00:00,1.94,2.03
2001-07-03 00:00:00,1.84,2.03
2001-07-05 00:00:00,1.82,2.03
2001-07-06 00:00:00,1.81,2.02
2001-07-09 00:00:00,1.78,2.02
2001-07-10 00:00:00,1.87,2.01
2001-07-11 00:00:00,1.96,2.01
2001-07-12 00:00:00,2.09,2.01
2001-07-13 00:00:00,1.97,2.01
2001-07-16 00:00:00,1.91,2.01
2001-07-17 00:00:00,1.88,2.0
2001-07-18 00:00:00,1.86,2.0
2001-07-19 00:00:00,1.88,2.0
2001-07-20 00:00:00,1.78,2.0
2001-07-23 00:00:00,1.77,1.99
2001-07-24 00:00:00,1.73,1.99
2001-07-25 00:00:00,1.75,1.98
2001-07-26 00:00:00,1.81,1.98
2001-07-27 00:00:00,1.93,1.98
2001-07-30 00:00:00,1.98,1.97
2001-07-31 00:00:00,2.06,1.96
2001-08-01 00:00:00,2.14,1.96
2001-08-02 00:00:00,2.14,1.96
2001-08-03 00:00:00,2.06,1.95
2001-08-06 00:00:00,2.03,1.94
2001-08-07 00:00:00,2.04,1.93
2001-08-08 00:00:00,2.03,1.93
2001-08-09 00:00:00,2.03,1.93
2001-08-10 00:00:00,1.99,1.93
2001-08-13 00:00:00,1.92,1.92
2001-08-14 00:00:00,1.96,1.92
2001-08-15 00:00:00,1.93,1.92
2001-08-16 00:00:00,1.88,1.92
2001-08-17 00:00:00,1.8,1.92
2001-08-20 00:00:00,1.84,1.91
2001-08-21 00:00:00,1.92,1.91
2001-08-22 00:00:00,1.82,1.91
2001-08-23 00:00:00,1.78,1.92
2001-08-24 00:00:00,1.84,1.92
2001-08-27 00:00:00,1.9,1.91
2001-08-28 00:00:00,1.84,1.92
2001-08-29 00:00:00,1.76,1.91
2001-08-30 00:00:00,1.68,1.92
2001-08-31 00:00:00,1.64,1.92
2001-09-04 00:00:00,1.52,1.91
2001-09-05 00:00:00,1.48,1.91
2001-09-06 00:00:00,1.46,1.91
2001-09-07 00:00:00,1.47,1.91
2001-09-10 00:00:00,1.5,1.9
2001-09-17 00:00:00,1.36,1.88
2001-09-18 00:00:00,1.32,1.88
2001-09-19 00:00:00,1.22,1.87
2001-09-20 00:00:00,1.08,1.87
2001-09-21 00:00:00,1.06,1.87
2001-09-24 00:00:00,1.14,1.86
2001-09-25 00:00:00,1.12,1.85
2001-09-26 00:00:00,1.12,1.85
2001-09-27 00:00:00,1.03,1.85
2001-09-28 00:00:00,1.06,1.85
2001-10-01 00:00:00,1.04,1.84
2001-10-02 00:00:00,1.09,1.84
2001-10-03 00:00:00,1.07,1.83
2001-10-04 00:00:00,1.14,1.84
2001-10-05 00:00:00,1.17,1.83
2001-10-08 00:00:00,1.16,1.83
2001-10-09 00:00:00,1.13,1.83
2001-10-10 00:00:00,1.3,1.83
2001-10-11 00:00:00,1.41,1.83
2001-10-12 00:00:00,1.39,1.83
2001-10-15 00:00:00,1.39,1.84
2001-10-16 00:00:00,1.47,1.84
2001-10-17 00:00:00,1.48,1.84
2001-10-18 00:00:00,1.51,1.84
2001-10-19 00:00:00,1.62,1.84
2001-10-22 00:00:00,1.66,1.84
2001-10-23 00:00:00,1.62,1.84
2001-10-24 00:00:00,1.63,1.84
2001-10-25 00:00:00,1.69,1.84
2001-10-26 00:00:00,1.65,1.84
